campaign,cac,close,conversion,response,cost,magnitude
Virginia Fusce,5408.80925,0.014602166,0.645255553,0.323665707,114442.5944,18500
Harrisburg A,1973.560779,0.026591177,0.415615646,0.078949256,94008.01885,18578
Mannekensvere Blandit,919.7044021,0.047546929,0.252228425,0.6223703,3107.970833,4736
Landelies Cursus,895.8696553,0.070214217,0.294250774,0.184217977,69260.84103,85730
Pforzheim In,5299.430183,0.098033034,0.70248922,0.125759121,42985.03072,73953
La Gravida,2573.375205,0.133009279,0.349007137,0.151048987,128086.4998,113712
Kingussie Semper,3378.805592,0.142802117,0.387400911,0.454855621,52018.1606,67241
Dallas Sem,3840.02441,0.154521615,0.484088334,0.965628736,25735.61578,3939
Luzzara Proin,3249.617838,0.163053798,0.794895688,0.102328937,194761.4082,3230
San Etiam,2051.135374,0.169470182,0.564925512,0.14801283,81771.44385,174883
Hyares Suspendisse,7122.481891,0.173025274,0.490974099,0.732720484,56180.22517,47326
Lorient Primis,1976.955876,0.181522569,0.631919824,0.232553668,46832.04844,26071
Russell Dui,1972.997679,0.190389177,0.122879053,0.36374237,28489.86726,53417
Tilburg Duis,1112.710986,0.192124694,0.791831676,0.279521481,2071.972561,7194
Cabano Elementum,2404.151684,0.193979586,0.133358542,0.023725874,52237.64923,90840
Kawartha Ultricies,1841.959237,0.194619677,0.827128541,0.071197563,132931.572,86870
Deline Curabitur,341.5811285,0.199754655,0.686075658,0.248992903,6867.67906,6604
Eugene Elit,1827.222378,0.203197531,0.57916538,0.353571182,25432.9138,36240
Rothes Nunc,2072.251244,0.208801539,0.282290419,0.360120229,27558.85662,31635
Ahmadpur Luctus,2926.018424,0.211065853,0.459854152,0.457283295,30316.12874,66709
Roxboro Blandit,2446.602897,0.211091777,0.73938187,0.873134577,13274.28027,17941
Linlithgow Laoreet,2800.676093,0.213447134,0.913471742,0.079167593,165739.1534,1931
Newark Sem,2568.821637,0.223892987,0.246922406,0.175929773,65215.99407,48120
Inveraray Ullamcorper,3117.612849,0.23475634,0.458571631,0.798120648,16639.34809,22300
Termini Aliquam,1396.339697,0.244481489,0.656607157,0.183537859,31118.55647,328712
Gibbons Dictum,2815.830673,0.249588167,0.628994224,0.230137686,49022.42638,57254
Victoria Aliquet,558.357856,0.270111084,0.556160502,0.152718099,13535.66869,3907
Missoula Sed,2984.019458,0.28451855,0.340237657,0.834981409,12560.71199,30881
Tay Ipsum,2919.970266,0.286556402,0.491857861,0.450661462,22610.9022,34778
