campaign,cac,close,conversion,response,cost,magnitude
Virginia Fusce,5408.80925,0.014602166,0.645255553,0.323665707,114442.5944,18500
Harrisburg A,1973.560779,0.026591177,0.415615646,0.078949256,94008.01885,18578
Mannekensvere Blandit,919.7044021,0.047546929,0.252228425,0.6223703,3107.970833,4736
Landelies Cursus,895.8696553,0.070214217,0.294250774,0.184217977,69260.84103,85730
Pforzheim In,5299.430183,0.098033034,0.70248922,0.125759121,42985.03072,73953
La Gravida,2573.375205,0.133009279,0.349007137,0.151048987,128086.4998,113712
Kingussie Semper,3378.805592,0.142802117,0.387400911,0.454855621,52018.1606,67241
Dallas Sem,3840.02441,0.154521615,0.484088334,0.965628736,25735.61578,3939
Luzzara Proin,3249.617838,0.163053798,0.794895688,0.102328937,194761.4082,3230
San Etiam,2051.135374,0.169470182,0.564925512,0.14801283,81771.44385,174883
Hyares Suspendisse,7122.481891,0.173025274,0.490974099,0.732720484,56180.22517,47326
